"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"de Azevedo M.C.; Neto F.B.; de Lima J.S.S.; dos Santos E.C.; de Jesus Silva do Carmo I.D.; da Silva J.P.P.; Justino G.F.; Braga S.A.","de Azevedo, Marianne Costa (59390389700); Neto, Francisco Bezerra (56218571000); de Lima, Jailma Suerda Silva (35932067900); dos Santos, Elizangela Cabral (24474275300); de Jesus Silva do Carmo, Iron Dhones (59705458200); da Silva, Jéssica Paloma Pinheiro (57913400900); Justino, Glenda Ferreira (59704919900); Braga, Sidney Alves (59704920000)","59390389700; 56218571000; 35932067900; 24474275300; 59705458200; 57913400900; 59704919900; 59704920000","Sustainability and agro-monetary return in beet–immature cowpea intercropping as a function of green manuring and population density; [Sustentabilidade e retorno agro-monetário no consórcio de beterraba e feijão-caupi imaturo em função da adubação verde e densidades populacionais]","2025","Semina:Ciencias Agrarias","46","2","","417","441","0","10.5433/1679-0359.2025v46n2p417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000639654&doi=10.5433%2F1679-0359.2025v46n2p417&partnerID=40&md5=90bbb8d9e90f210db1e7bd29e6727a7c","Universidade Federal Rural do Semiárido, UFERSA, RN, Mossoró, Brazil; UFERSA, RN, Mossoró, Brazil; Universidade de São Paulo, USP, SP, Piracicaba, Brazil","de Azevedo M.C., Universidade Federal Rural do Semiárido, UFERSA, RN, Mossoró, Brazil; Neto F.B., UFERSA, RN, Mossoró, Brazil; de Lima J.S.S., UFERSA, RN, Mossoró, Brazil; dos Santos E.C., UFERSA, RN, Mossoró, Brazil; de Jesus Silva do Carmo I.D., Universidade de São Paulo, USP, SP, Piracicaba, Brazil; da Silva J.P.P., Universidade Federal Rural do Semiárido, UFERSA, RN, Mossoró, Brazil; Justino G.F., UFERSA, RN, Mossoró, Brazil; Braga S.A., UFERSA, RN, Mossoró, Brazil","One of the questions that have been asked about the intercropping of beet with immature cowpea is how to properly use green manuring and population density of the component crops and their interaction for system sustainability. The objective of this study was to evaluate the agro-monetary benefits and sustainability of intercropping beet and immature cowpea under the influence of green manure with Merremia aegyptia and Calotropis procera and the cowpea population density in a semi-arid environment during two years of cultivation. The experimental design was randomized blocks, with treatments arranged in a 4×4 factorial scheme with 4 replications. The first factor of this scheme consisted of equitable amounts of M. aegyptia and C. procera biomass at doses of 20, 36, 52 and 68 t ha−1 on a dry basis, and the second factor was cowpea population density, with 80, 120, 160 and 200 thousand plants ha−1. The cowpea and beet cultivars planted were ‘BRS Tumucumaque’ and ‘Early Wonder’, respectively. The greatest agro-economic advantages of beet × immature cowpea intercropping were achieved with a productivity index system of 35.37 t ha−1, land equivalent coefficient of 0.35 and monetary equivalence ratio of 1.79, respectively, in the combinations with equitable biomass amounts of the green manure of 62.19, 62.07 and 61.63 t ha−1 and a cowpea population density of 142 thousand plants ha−1 © 2025 Universidade Estadual de Londrina. All rights reserved.","Beta vulgaris; Calotropis procera; Economic feasibility; Merremia aegyptia; Vigna unguiculata","","M.C. de Azevedo; Universidade Federal Rural do Semiárido, UFERSA, Mossoró, RN, Brazil; email: mariagro13@gmail.com","","Universidade Estadual de Londrina","1676546X","","","","English","Semin. Cienc. Agrar.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105000639654"
"de Andrade A.L.","de Andrade, Aila Luzia Pinheiro (58622505800)","58622505800","Bible and Sustainability: Ecological Consciousness as a Paradigm of a New Biblical Hermeneutic; [BÍBLIA E SUSTENTABILIDADE: A CONSCIÊNCE ECOLÓGICA COMO PARADIGMA DE UMA NOVA HERMENÊUTICA BÍBLICA]","2023","Perspectiva Teologica","55","2","","383","404","2","10.20911/21768757v55n2p383/2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172658757&doi=10.20911%2F21768757v55n2p383%2F2023&partnerID=40&md5=04d527525865ef534fb2297a76df34d5","Universidade Catolica de Pernambuco, Pernambuco, Recife, Brazil","de Andrade A.L., Universidade Catolica de Pernambuco, Pernambuco, Recife, Brazil","Social, political and economic crises, extreme droughts and floods, and rising sea levels are all part of the contemporary environmental crisis. Therefore, this article sought to clarify some causes of this crisis, which are closely related to a type of relationship between human beings and nature, a relationship that arose from the anthropocentric turning point in modernity. It aims to show that a hermeneutics of the Sacred Scriptures based on an anthropocentric perspective is unable to correctly interpret biblical texts. Firstly, it argues that the accounts of creation do not imply the dominion of nature, and its excessive exploitation, by human beings. Then, the article clarifies that the Sabbath system in the Bible, many centuries before environmentalists, already proposed a form of sustainability, ensuring natural resources for future generations and care for the entire creation. Finally, the results of the research point to the need for a new hermeneutic paradigm capable of interpreting the Bible no longer from an anthropocentric perspective, but from a perspective rooted in ecological consciousness. Therefore, it is not simply a superficial hermeneutic change, but a real paradigm shift. © 2023 Faculdade Jesuita de Filosofia e Teologia. All rights reserved.","Accounts of Creation; Bible; Consumer Culture; Environmental Crisis; Sabbath","","A.L. de Andrade; Universidade Catolica de Pernambuco, Recife, Pernambuco, Brazil; email: aila.andrade@unicap.br","","Faculdade Jesuita de Filosofia e Teologia","01024469","","","","Portuguese","Pers. Teol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85172658757"
"Camacho O.I.M.; Ortiz W.A.W.; Diaz R.E.V.; Malagón E.M.E.","Camacho, Oscar Iván Monsalve (57222638025); Ortiz, Wilmar Alexander Wilches (57217484984); Diaz, Ruy Edeymar Vargas (57861346300); Malagón, Eduardo María Espitia (57554746000)","57222638025; 57217484984; 57861346300; 57554746000","Rotation as a strategy to increase the sustainability of potato crop; [Rotação como estratégia para aumentar a sustentabilidade da cultura da batata]","2024","Pesquisa Agropecuaria Tropical","54","","e77804","","","3","10.1590/1983-40632024v5477804","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193001496&doi=10.1590%2F1983-40632024v5477804&partnerID=40&md5=54199dc3c22023ad0f3ea46d732e41df","Universidad de Ciencias Aplicadas y Ambientales, Bogotá, Colombia; Colombian Corporation for Agricultural Research (Agrosavia), Direction of Research and Development, Tibaitatá Research Center, Bogotá, Colombia","Camacho O.I.M., Universidad de Ciencias Aplicadas y Ambientales, Bogotá, Colombia; Ortiz W.A.W., Colombian Corporation for Agricultural Research (Agrosavia), Direction of Research and Development, Tibaitatá Research Center, Bogotá, Colombia; Diaz R.E.V., Colombian Corporation for Agricultural Research (Agrosavia), Direction of Research and Development, Tibaitatá Research Center, Bogotá, Colombia; Malagón E.M.E., Colombian Corporation for Agricultural Research (Agrosavia), Direction of Research and Development, Tibaitatá Research Center, Bogotá, Colombia","Potato cultivation is characterized by a high use of inputs, which results in soil degradation and contamination. Crop rotation is a good practice to counteract these problems. This study aimed to assess the sustainability of three rotation sequences (potato-pea-potato, potato-oat-pea and potato-potato-oat) using the sustainability assessment methodology oriented to agricultural experiments associated with soil management. It was observed that, both environmentally and economically, potato-potato-oat is the most sustainable treatment, while potato-oat-pea is the most socially sustainable. Balancing the three dimensions, potato-potato-oat is the most sustainable treatment, with sustainability index of 0.85, while potato-pea-potato is the least sustainable one, with 0.64. The potato-potato-oat rotation sequence generates a less negative environmental impact, as well as a higher social equity and economic return for the farmer. © 2024, Universidade Federal De Goias (UFG). All rights reserved.","Avena sativa; Pisum sativum; Solanum tuberosum","","","","Universidade Federal De Goias (UFG)","15176398","","","","English","Pesqui. Agropecu. Trop.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85193001496"
"De Andrade D.C.","De Andrade, Diego Cardoso (58512957800)","58512957800","THE BEHAVIOR OF THE STOCKS OF SUSTAINABLE COMPANIES IN THE ELECTRIC SECTOR IN RELATION TO B3'S CORPORATE SUSTAINABILITY INDEX; [O COMPORTAMENTO DAS AÇÕES DAS EMPRESAS SUSTENTÁVEIS DO SETOR ELÉTRICO EM RELAÇÃO AO ÍNDICE DE SUSTENTABILIDADE EMPRESARIAL DA B3]","2023","Revista de Gestao Social e Ambiental","17","3","e03185","","","2","10.24857/rgsa.v17n3-020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166240865&doi=10.24857%2Frgsa.v17n3-020&partnerID=40&md5=1bf3567fdebbeea561522b76d3f67ff9","Grupo Ibmec Educacional S/A, Rio de Janeiro, Brazil","De Andrade D.C., Grupo Ibmec Educacional S/A, Rio de Janeiro, Brazil","Purpose: Compare and analyze the profitability of sustainable electricity companies with Brazilian sustainable companies from the B3 Corporate Sustainability Index. Theoretical framework: The important concept of Triple Bottom Line in companies and society was addressed, linked to sustainable companies in the electricity sector. Method/design/approach: Descriptive and applied statistics were used with non-parametric statistical tests for a non-normal distribution for analysis of the collected data. Results and conclusion: The research shows that, by all indications, there is a connection between the profitability of sustainable companies in the electricity sector and the totality of companies that make up B3's corporate sustainability index and that, therefore, being included in the list of sustainable companies is to add value good image and sustainability for the company in the electricity sector. Research implications: The research details that being sustainable is profitable for companies in the electricity sector in the long term, as their profitability can be linked to the B3 group of sustainable companies. This fact helps other companies in the electricity sector to be part of the corporate sustainability index and, therefore, have good environmental, social and economic sustainability practices. Originality/value: This study is avant-garde in comparing sustainability in the electricity sector, amplifies the corporate sustainability discourse and encourages the maximum number of companies, mainly in the electricity sector, to have a sustainable culture in their business. © 2023 ANPAD - Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao. All rights reserved.","Corporate Sustainability; Electricity Sector; Sustainable Companies; Triple Bottom Line","","D.C. De Andrade; Grupo Ibmec Educacional S/A, Rio de Janeiro, Brazil; email: diegoandrade425@gmail.com","","ANPAD - Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao","1981982X","","","","English","Rev. Gestao Soc. Ambient.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85166240865"
"Neves G.F.; Vieira M.D.F.; de Andrade L.D.F.; Veloso C.M.F.M.; Rocha L.T.; dos Santos R.H.M.","Neves, Gabriela Furtado (59212589200); Vieira, Marianne Dantas Farias (59211980100); de Andrade, Luciana Dantas Farias (59189154400); Veloso, Cláudia Maria Fileno Miranda (57204888803); Rocha, Luciano Teixeira (59213394600); dos Santos, Rafael Hohenfeld Macedo (59212392500)","59212589200; 59211980100; 59189154400; 57204888803; 59213394600; 59212392500","RESILIENCE, REGENERATION AND SUSTAINABILITY IN BRAZIL IN THE 21ST CENTURY; [RESILIÊNCIA, REGENERAÇÃO E SUSTENTABILIDADE NO BRASIL NO SÉCULO XXI RESUMO]; [RESILIENCIA, REGENERACIÓN Y SOSTENIBILIDAD EN BRASIL EN EL SIGLO XXI RESUMEN]","2024","Revista de Gestao Social e Ambiental ","18","9","e07573","","","1","10.24857/rgsa.v18n9-106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198104031&doi=10.24857%2Frgsa.v18n9-106&partnerID=40&md5=6c9906495f1b698abb3b597f22eb28ff","Universidade Aberta de Portugal (UAb), Distrito Federal, Brasília, Brazil; Universidade Aberta de Portugal (UAb), Paraíba, João Pessoa, Brazil; Universidade Federal da Paraíba, Paraíba, João Pessoa, Brazil; Universidade Aberta de Portugal (UAb), Lisboa, Portugal; Universidade Aberta de Portugal (UAb), Rio de Janeiro, Brazil","Neves G.F., Universidade Aberta de Portugal (UAb), Distrito Federal, Brasília, Brazil; Vieira M.D.F., Universidade Aberta de Portugal (UAb), Paraíba, João Pessoa, Brazil; de Andrade L.D.F., Universidade Federal da Paraíba, Paraíba, João Pessoa, Brazil; Veloso C.M.F.M., Universidade Aberta de Portugal (UAb), Lisboa, Portugal; Rocha L.T., Universidade Aberta de Portugal (UAb), Rio de Janeiro, Brazil; dos Santos R.H.M., Universidade Aberta de Portugal (UAb), Distrito Federal, Brasília, Brazil","Objective: The objective of this study is to investigate resilience, regeneration and sustainability in Brazil, with the aim of discussing the process of occupation of urban areas; possible adverse effects on the environment and society; the impact of consumption and the construction of more sustainable cities and the commitment to future generations. Theoretical Framework: The concepts of resilience, sustainable development and urban regeneration stand out as the basis of the research, providing an interesting foundation for understanding the context of the investigation. Method: Exploratory, descriptive study with a qualitative approach anchored in a narrative review that allowed us to converge on an interpretative understanding of urban resilience in Brazil towards sustainable development. Results and Discussion: It is not possible to slow down economic advances, however, as the 2030 Agenda prioritizes, bridges must be built for conscious consumption and production. Gentrification and favelaization are examples that can point to the consequence of the rural exodus and the development of cities that increasingly consume non-renewable natural resources. Two cases can be examples to mitigate actions that affect ecosystems: “Contingency Plan on the Hills of Rio de Janeiro” and the “ProMorar Project in Recife”. Research Implications: Reflections involving the adverse effects arising from unplanned anthropogenic interventions and their impact on ecosystem imbalance point to changes aimed at actions to alleviate this process. Originality/Value: The importance of conscious consumption is defended, linked to the process of minimizing the adverse effects of the urbanization process, as ways to protect future generations. © 2024 ANPAD - Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao. All rights reserved.","Public Policies; Regeneration; Resilience; Sustainable Development; Urban Sustainability","","","","ANPAD - Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao","1981982X","","","","English","Rev. Gestao Soc. Ambient.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85198104031"
"Pérez I.E.; Reátiga C.M.; Domínguez Á.Z.; Rodríguez L.B.","Pérez, Isadora Eljadue (59383210400); Reátiga, Camilo Mejía (55804730800); Domínguez, Álvaro Zapata (59383494200); Rodríguez, Libnazaret Betancourt (59383352700)","59383210400; 55804730800; 59383494200; 59383352700","Analysis of the Relationship Between Sustainability and Cultural Tourism as an Engine of Development; [Análise da Relação entre Sustentabilidade e Turismo Cultural como Motor do Desenvolvimento]; [Análisis de la relación sostenibilidad-turismo cultural como motor de desarrollo]","2024","Revista Lasallista de Investigacion","21","1","","189","208","0","10.22507/rli.v21n1a11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207330938&doi=10.22507%2Frli.v21n1a11&partnerID=40&md5=47954c38d4050362720f4e42aea06412","Universidad del Norte, Colombia","Pérez I.E., Universidad del Norte, Colombia; Reátiga C.M., Universidad del Norte, Colombia; Domínguez Á.Z., Universidad del Norte, Colombia; Rodríguez L.B., Universidad del Norte, Colombia","Introduction: the dynamism of the tourism industry has sought to rethink its relationship with the environment and society in order to become a viable and sustainable option for development in countries, which deserves detailed observation. Objective: to determine the principles of sustainable cultural tourism development, analyzing the relationship between sustainability and cultural tourism. Materials and methods: a systematic review of the literature published in the last five years in the Scopus database was applied, guided by the research question, based on the studies on the analysis of the relationship between sustainability and cultural tourism, what are the principles for the development of sustainable cultural tourism. Results: among some of the principles established are the participation of local authorities and communities, ICT and the digital heritage environment, balance of political, social, economic and ethical dimensions, attachment to place, heritage authenticity and authentic experiences, stakeholder synergy, promotion and support initiatives, as well as accessibility. Conclusions: the above principles constitute a fundamental pillar to generate possible solutions towards a more sustainable cultural tourism industry. © (2024), (Corporacion Universitaria Lasallista). All rights reserved.","cultural tourism; desarrollo; desenvolvimento; development; heritage; patrimonio; patrimônio; principios; principles; princípios; sostenibilidad; sustainability; sustentabilidade; turismo cultural; turismo cultural","","I.E. Pérez; Universidad del Norte, Colombia; email: ieljadue@unimagdalena.edu.co","","Corporacion Universitaria Lasallista","17944449","","","","English","Rev. Lasa. Invest.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85207330938"
"Moneva J.M.; Jara-Sarrúa L.; Pajares J.H.; Suárez-Rico Y.M.","Moneva, José Mariano (14119993400); Jara-Sarrúa, Luis (24074217900); Pajares, Julio Hernández (57203022378); Suárez-Rico, Yuli Marcela (57203093079)","14119993400; 24074217900; 57203022378; 57203093079","Accounting and sustainability reporting in emerging economies: regulatory framework, challenges, and critical perspectives; [Contabilidade e relatórios de sustentabilidade em economias emergentes: enquadramento regulatório, desafios e perspetivas críticas]; [Contabilidad y reporting de sostenibilidad en economías emergentes: marco regulatorio, desafíos y perspectivas críticas]","2025","Innovar","35","98","E123581","","","0","10.15446/innovar.v35n98.123581","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020401046&doi=10.15446%2Finnovar.v35n98.123581&partnerID=40&md5=63430351c9a8a6e2433dfd020a2af46d","Universidad de Zaragoza, Spain; Universidad de Santiago de Chile, Chile; Universidad de Piura, Peru; Universidad Nacional de Colombia, Colombia","Moneva J.M., Universidad de Zaragoza, Spain; Jara-Sarrúa L., Universidad de Santiago de Chile, Chile; Pajares J.H., Universidad de Piura, Peru; Suárez-Rico Y.M., Universidad Nacional de Colombia, Colombia","This editorial note presents the purpose and scope of the special issue of INNOVAR on accounting and sustainability reporting in emerging economies. The call for papers sought to examine the state of sustainability information, the analysis of emerging or changing regulations, and the analysis of public and corporate policies towards sustainability, with accounting at the focus. This editorial note contextualizes the emergence of reporting, the expansion of frameworks such as CSRD and IFRS S1/S2 standards, and the consolidation of the GRI, which shifted sustainability reporting from voluntary to mandatory and opened debates on materiality, usefulness, and assurance. For Latin America, it highlights the urgent importance of improving quality, assurance, and stakeholder participation in contexts marked by tensions between extractivism, inequality, and biodiversity conservation, with Brazil, Colombia, Chile, Mexico and Peru as key cases. The issue provides diverse empirical and methodological evidence, quantitative, qualitative, and mixed, on universities, listed companies, service firms, the public sector, and mining companies, thus contributing to advancing the study of tensions between financial and impact approaches; therefore, future research avenues are suggested in double materiality, transparency, governance, and assurance models. © 2025 Universidad Nacional de Colombia. All rights reserved.","accounting; emerging countries; Latin America; reporting; sustainability","","","","Universidad Nacional de Colombia","01215051","","","","Spanish","Innovar","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105020401046"
"Duarte L.T.; Marcicano J.P.P.","Duarte, Livia Teixeira (60396873200); Marcicano, João Paulo Pereira (15064465800)","60396873200; 15064465800","The life cycle of textile craft products and sustainability; [O ciclo de vida de produtos artesanais têxteis e a sustentabilidade]; [El ciclo de vida de productos textiles artesanales y la sostenibilidad]","2024","Modapalavra e-periódico","17","42","","","","0","10.5965/1982615x17422024e0002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030143464&doi=10.5965%2F1982615x17422024e0002&partnerID=40&md5=6c27109336742c3e1e43cd43f8db6b9f","Universidade de São Paulo, Brazil","Duarte L.T., Universidade de São Paulo, Brazil; Marcicano J.P.P., Universidade de São Paulo, Brazil","The article aims to analyze the sustainable aspects present in the life cycle of handcrafted textile products. Data were obtained through a literature review and the methodology of Oral History, with interviews conducted with artisans from the region of Ipameri, Goiás. Data analysis took place according to the model proposed by Lima et al. (2017). Several studies discuss the relationship between handcrafted production and sustainability, but as far as is known, the analysis of the life cycle of products that were produced in an artisanal way in Brazil is unprecedented. The research is important for the historical record of textile crafts and for rethinking the current textile and clothing production paradigms. In the study, the procedures and materials used in the production of textiles were presented and systematized. The life cycle analysis was carried out qualitatively and demonstrated that several criteria of the sustainability model followed, referring to the environmental dimension, are satisfied. Thus, it is possible to state that the analyzed life cycle adheres to the ideals of sustainability and that the handcrafted textile product carries many contributions to thinking about a more sustainable production model. © 2024, State University of Santa Catarina. All rights reserved.","Artisanal Textile Production; Textile Sustainability; Life Cycle Analysis","","","","State University of Santa Catarina","1982615X","","","","Portuguese","Modapalavra e-periódico","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030143464"
"Barcelos M.; Soares M.","Barcelos, Mônica (60070656000); Soares, Mariana (60070656100)","60070656000; 60070656100","Self-Assessment Guide on Sustainability: a New Tool for the Portuguese Museums; [Guia de Autoavaliação em Sustentabilidade: uma nova ferramenta para os museus portugueses]","2024","MIDAS","2024","19","","","","0","10.4000/12ndd","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014256972&doi=10.4000%2F12ndd&partnerID=40&md5=00a557c5a45db5ba721feaeb629cba31","Programa Ibermuseus, Unidade Técnica, Edifício do Museu Nacional de Etnologia, Av. Ilha da Madeira, Lisboa, 1400-203, Portugal","Barcelos M., Programa Ibermuseus, Unidade Técnica, Edifício do Museu Nacional de Etnologia, Av. Ilha da Madeira, Lisboa, 1400-203, Portugal; Soares M., Programa Ibermuseus, Unidade Técnica, Edifício do Museu Nacional de Etnologia, Av. Ilha da Madeira, Lisboa, 1400-203, Portugal","Since 2015, the Ibermuseums Programme has been encouraging the adoption of sustainable practices in museums, reinforcing the role of these institutions in building a more responsible and sustainable future. The Self-Assessment Guide on Sustainability (2023) is a tool developed under this Programme that represents an important step towards strengthening sustainable practices in Ibero-American museums. The creation of the Guide was motivated by the need to provide museums with a practical and accessible tool to help them evaluate and improve their sustainable practices, identifying critical areas where they can implement significant changes. In this way, this instrument promotes more efficient and balanced management, respecting its surroundings and raising awareness among its community and audiences about sustainability in a more holistic context. The Guide covers the four dimensions of sustainability – environmental, social, economic and cultural – in conjunction with day-to-day issues such as resource management, energy efficiency, conservation practices and community involvement. By encouraging museums to carry out a detailed self-assessment, the guide provides a solid basis for developing customised sustainable strategies. In this short article, we focus on the Guide background, the process of developing the tool, the principles on which it is based and its functionalities. We also take a brief overview of the Guide’s implementation in Portugal. As more museums adopt this tool, it is expected to continue evolving and adapting to the specific needs of the field, promoting a network of cultural institutions committed to sustainability. © 2024, Centro Interdisciplinar de Historia Culturas e Sociedades da Universidade de Evora (CIDEHUS). All rights reserved.","2030 Agenda; Ibermuseums; self-assessment; sustainability; sustainable development","","","","Centro Interdisciplinar de Historia Culturas e Sociedades da Universidade de Evora (CIDEHUS)","21829543","","","","Portuguese","Midas","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105014256972"
"Núñez-Carrasco L.; Cladera J.; Cruz P.J.; Egan N.; Figlioli G.A.; Godoy-Garraza G.; Golsberg C.; Quiñones-Diáz X.; Sáez-Tonacca L.; Vieira-Pak M.; Winkel T.","Núñez-Carrasco, Lizbeth (57211681781); Cladera, Jorge (6701309202); Cruz, Pablo José (36337744900); Egan, Nancy (57203153787); Figlioli, Gabriela Andrea (58757795300); Godoy-Garraza, Gastón (58757649300); Golsberg, Celeste (58757795400); Quiñones-Diáz, Ximena (57806859600); Sáez-Tonacca, Luis (55669593700); Vieira-Pak, Manuela (59158512600); Winkel, Thierry (36916561000)","57211681781; 6701309202; 36337744900; 57203153787; 58757795300; 58757649300; 58757795400; 57806859600; 55669593700; 59158512600; 36916561000","Social capital, biocultural heritage, and commoning for inclusive sustainability of peasant agriculture: three case studies in Argentina, Bolivia, and Chile; [Capital social, patrimônio biocultural e bens comuns para a sustentabilidade inclusiva da agricultura camponesa: três estudos de caso na Argentina, Bolívia e Chile]","2023","Desenvolvimento e Meio Ambiente","62","","","1021","1050","1","10.5380/dma.v62i0.90418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179464027&doi=10.5380%2Fdma.v62i0.90418&partnerID=40&md5=0b7751bbf56ef940e42709823e77d9cd","Universidad Católica del Maule (UCM), Facultad de Ciencias Sociales, Curicó, Chile; Universidad de Buenos Aires (UBA), Facultad de Filosofía y Letras, Instituto Interdisciplinario de Tilcara, Buenos Aires, Argentina; Unidad Ejecutora en Ciencias Sociales Regionales y Humanidades (UE CISOR), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad Nacional de Jujuy (UNJU), San Salvador de Jujuy, Argentina; Ministerio de Agricultura, Ganadería y Pesca (MAGyP), Jujuy, Argentina; Instituto de Investigación y Desarrollo Tecnológico para la Agricultura Familiar, Región NOA (IPAF-NOA), Jujuy, Argentina; Universidad Católica del Maule (UCM), Facultad de Ciencias Agrarias y Forestales, Curicó, Chile; Universidad de Santiago de Chile (USACH), Facultad Tecnológica, Santiago, Chile; LISODE (Cooperative Consultancy Specialized in Participatory Approaches), Montpellier, France; Centre d’Écologie Fonctionnelle et Évolutive (CEFE), Institut de Recherche pour le Développement (IRD), CNRS, Univ Montpellier, UPVM3, EPHE, Montpellier, France","Núñez-Carrasco L., Universidad Católica del Maule (UCM), Facultad de Ciencias Sociales, Curicó, Chile; Cladera J., Universidad de Buenos Aires (UBA), Facultad de Filosofía y Letras, Instituto Interdisciplinario de Tilcara, Buenos Aires, Argentina; Cruz P.J., Unidad Ejecutora en Ciencias Sociales Regionales y Humanidades (UE CISOR), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad Nacional de Jujuy (UNJU), San Salvador de Jujuy, Argentina; Egan N., Unidad Ejecutora en Ciencias Sociales Regionales y Humanidades (UE CISOR), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad Nacional de Jujuy (UNJU), San Salvador de Jujuy, Argentina; Figlioli G.A., Ministerio de Agricultura, Ganadería y Pesca (MAGyP), Jujuy, Argentina; Godoy-Garraza G., Instituto de Investigación y Desarrollo Tecnológico para la Agricultura Familiar, Región NOA (IPAF-NOA), Jujuy, Argentina; Golsberg C., Instituto de Investigación y Desarrollo Tecnológico para la Agricultura Familiar, Región NOA (IPAF-NOA), Jujuy, Argentina; Quiñones-Diáz X., Universidad Católica del Maule (UCM), Facultad de Ciencias Agrarias y Forestales, Curicó, Chile; Sáez-Tonacca L., Universidad de Santiago de Chile (USACH), Facultad Tecnológica, Santiago, Chile; Vieira-Pak M., LISODE (Cooperative Consultancy Specialized in Participatory Approaches), Montpellier, France; Winkel T., Centre d’Écologie Fonctionnelle et Évolutive (CEFE), Institut de Recherche pour le Développement (IRD), CNRS, Univ Montpellier, UPVM3, EPHE, Montpellier, France","Social issues and theoretical background: the sustainability of human societies depends on the intergenerational transmission of capital stocks, whether natural, social or economic. With ever more competition for economic resources, sustainability must increasingly focus on the mutual reinforcement of social and natural capitals. This perspective is particularly relevant for peasant agriculture and producers, who are constantly at risk of social and economic exclusion, but whose social and natural capitals remain important, though often underutilized, even by the peasants themselves. The concepts of commoning and social capital are useful for addressing these issues and activating biocultural heritage from an ethically inclusive sustainability perspective. Objective and methods: We seek to understand how peasants organize to collectively achieve goals of social and economic inclusion that could promote their sustainability and resilience in the face of economic constraints. Using field surveys and participatory action research, we analyzed the social, economic, and environmental factors that fostered the emergence and sustainability of producer organizations and their value chains. This was done in three peasant organizations in Argentina, Bolivia and Chile, whose common starting point is the valorization of traditional quinoa grain, but which differ greatly in terms of size, internal dynamics and organizational trajectories. Results: The successes and challenges of the social innovations implemented in the three cases studied provide lessons on how farmers can mobilize their social capital and leverage the resources of their cultural and natural capitals to achieve ethically inclusive sustainability. While some lessons remain context-specific, others appear to be independent of the size and place of organizations, and several demonstrate the importance of socio-ethical interactions cultivated both within organizations and with consumers. © 2023 Universidade Federal do Parana. All rights reserved.","collective action; commons; ethical values; inclusive agriculture; participatory-action research; peasant farmers; quinoa","","T. Winkel; Centre d’Écologie Fonctionnelle et Évolutive (CEFE), Institut de Recherche pour le Développement (IRD), CNRS, Univ Montpellier, UPVM3, EPHE, Montpellier, France; email: thierry.winkel@ird.fr","","Universidade Federal do Parana","1518952X","","","","English","Desenvolv. Meio Ambient.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85179464027"
