"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Pang, Y.; Zhang, K.; Li, F.","Pang, Yiqun (57383475400); Zhang, Kaiqi (58111978800); Li, Fengmei (58112205600)","57383475400; 58111978800; 58112205600","Explainable quality assessment of effective aligned skeletal representations for martial arts movements by multi-machine learning decisions","2025","Scientific Reports","15","1","323","","","5","10.1038/s41598-024-83475-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213854250&doi=10.1038%2Fs41598-024-83475-4&partnerID=40&md5=ec04e9bda89bb7d818933023e0e28aaf","Department of Physical Education, Southwest Petroleum University China, Chengdu, Sichuan, China; School of Dance and Martial Arts, Capital University of Physical Education and Sports, Beijing, China; Sichuan Students’ Physical Health Big Data Research and Joint Application Technology Center, Chengdu, China","Pang, Yiqun, Department of Physical Education, Southwest Petroleum University China, Chengdu, Sichuan, China, Sichuan Students’ Physical Health Big Data Research and Joint Application Technology Center, Chengdu, China; Zhang, Kaiqi, School of Dance and Martial Arts, Capital University of Physical Education and Sports, Beijing, China; Li, Fengmei, School of Dance and Martial Arts, Capital University of Physical Education and Sports, Beijing, China","","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85213854250"
"Rahman, N.F.A.; Wang, S.L.; Ng, T.F.; Ghoneim, A.S.","Rahman, Noor Fadzilah Ab (59492427200); Wang, S. L. (36198964200); Ng, Theam Foo (57188825808); Ghoneim, Amr S. (57213767334)","59492427200; 36198964200; 57188825808; 57213767334","Artificial Intelligence in Education: A Systematic Review of Machine Learning for Predicting Student Performance","2025","Journal of Advanced Research in Applied Sciences and Engineering Technology","54","1","","198","221","9","10.37934/araset.54.1.198221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213465415&doi=10.37934%2Faraset.54.1.198221&partnerID=40&md5=73ef458bd7358bf81b6572f6b66180b5","Department of Computing, Universiti Islam Selangor, Kajang, Selangor, Malaysia; Department of Software Engineering and Smart Technology, Universiti Pendidikan Sultan Idris, Tanjong Malim, Perak, Malaysia; Universiti Pendidikan Sultan Idris, Tanjong Malim, Perak, Malaysia; Centre for Global Sustainability Studies, Universiti Sains Malaysia, Gelugor, Penang, Malaysia; Faculty of Computers and Artificial Intelligence, Helwan, Cairo, Egypt","Rahman, Noor Fadzilah Ab, Department of Computing, Universiti Islam Selangor, Kajang, Selangor, Malaysia; Wang, S. L., Department of Software Engineering and Smart Technology, Universiti Pendidikan Sultan Idris, Tanjong Malim, Perak, Malaysia, Universiti Pendidikan Sultan Idris, Tanjong Malim, Perak, Malaysia; Ng, Theam Foo, Centre for Global Sustainability Studies, Universiti Sains Malaysia, Gelugor, Penang, Malaysia; Ghoneim, Amr S., Faculty of Computers and Artificial Intelligence, Helwan, Cairo, Egypt","Artificial Intelligence; Machine Learning; Student Performance; Student Performance Prediction; Systematic Review","Semarak Ilmu Publishing","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85213465415"
"Quttainah, M.A.; Sadhna, P.; Aggarwal, A.; Daipuria, P.; Bhardwaj, B.; Sharma, I.","Quttainah, Majdi Anwar (55851358500); Sadhna, Priyanka (57219710934); Aggarwal, Arun (58964770300); Daipuria, Pratima (35502891800); Bhardwaj, Bhavna (59672873300); Sharma, Ishani (58964799800)","55851358500; 57219710934; 58964770300; 35502891800; 59672873300; 58964799800","AI-Savvy leadership for enhancing AI utilization and employee engagement among digital natives in the EdTech sector","2025","Scientific Reports","15","1","45549","","","0","10.1038/s41598-025-29973-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026403830&doi=10.1038%2Fs41598-025-29973-5&partnerID=40&md5=c4418cfd60f9b6836255afd11cea429f","Kuwait University, Kuwait City, Safat, Kuwait; GL Bajaj Institute of Management and Research, Greater Noida, UP, India; Chitkara University, Punjab, Rajpura, PB, India; Jagan Institute of Management Studies, New Delhi, DL, India","Quttainah, Majdi Anwar, Kuwait University, Kuwait City, Safat, Kuwait; Sadhna, Priyanka, GL Bajaj Institute of Management and Research, Greater Noida, UP, India; Aggarwal, Arun, Chitkara University, Punjab, Rajpura, PB, India; Daipuria, Pratima, Jagan Institute of Management Studies, New Delhi, DL, India; Bhardwaj, Bhavna, GL Bajaj Institute of Management and Research, Greater Noida, UP, India; Sharma, Ishani, Chitkara University, Punjab, Rajpura, PB, India","AI savvy leadership; AI utilization; Artificial intelligence (AI); Digital natives; Edtech; Employee engagement","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105026403830"
"Saudabayeva, D.; Uspanov, Z.; Baliyeva, Z.; Zhiyenbayeva, Z.","Saudabayeva, Dariya (60264022700); Uspanov, Zholdybai T. (57190567916); Baliyeva, Zagipa (60263613500); Zhiyenbayeva, Zarema (60263745100)","60264022700; 57190567916; 60263613500; 60263745100","A digital-intercultural competence model for educational managers: toward sustainable educational leadership in Kazakhstan","2025","Scientific Reports","15","1","45507","","","0","10.1038/s41598-025-30417-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026372999&doi=10.1038%2Fs41598-025-30417-3&partnerID=40&md5=a2ccc1d3949fba592fddcecb8ed715ec","Department of Pedagogy and Psychology, Abai Kazakh National Pedagogical University, Almaty, Kazakhstan; Department of Law and Social Disciplines, Bolashak University, Almaty, Almaty, Kazakhstan; Department of Law, Kunaev University, Almaty, Almaty, Kazakhstan; Investment Projects and International Cooperation Department, JSC NC QazaqGaz, Astana, Kazakhstan","Saudabayeva, Dariya, Department of Pedagogy and Psychology, Abai Kazakh National Pedagogical University, Almaty, Kazakhstan; Uspanov, Zholdybai T., Department of Law and Social Disciplines, Bolashak University, Almaty, Almaty, Kazakhstan; Baliyeva, Zagipa, Department of Law, Kunaev University, Almaty, Almaty, Kazakhstan; Zhiyenbayeva, Zarema, Investment Projects and International Cooperation Department, JSC NC QazaqGaz, Astana, Kazakhstan","Development model; Digital competence; Education manager; Innovative learning; Integrated approach; Intercultural competence","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105026372999"
"Zhou, Y.; Wang, Y.; Su, J.","Zhou, Yongxin (60262117000); Wang, Yuhui (58261467600); Su, Jiayu (59131412700)","60262117000; 58261467600; 59131412700","A study on factors influencing music enthusiast’s behavioral intention to use generative AI for music composition based on an expanded technology acceptance model","2025","Scientific Reports","15","1","44802","","","0","10.1038/s41598-025-28532-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026315359&doi=10.1038%2Fs41598-025-28532-2&partnerID=40&md5=51f50edb78638fb72df3ee8dc8a76cd5","Central South University, Changsha, Hunan, China; China Conservatory of Music, Beijing, China","Zhou, Yongxin, China Conservatory of Music, Beijing, China; Wang, Yuhui, Central South University, Changsha, Hunan, China; Su, Jiayu, Central South University, Changsha, Hunan, China","Generative artificial intelligence; Intension to use; Music composition; Music enthusiast; Technology acceptance model","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105026315359"
"Kiyani, A.; Hanif, F.; Muhammad, M.; Iqbal, S.; Zaib, N.; Bashir, U.; Ali, K.","Kiyani, Amber R. (57200296779); Hanif, Fariha (60262942300); Muhammad, Muhammad (57219099146); Iqbal, Sana (59220402300); Zaib, Nadia (35365743800); Bashir, Ulfat (6507943405); Ali, Kamran (57373736200)","57200296779; 60262942300; 57219099146; 59220402300; 35365743800; 6507943405; 57373736200","Benchmarking ChatGPT-generated multiple-choice questions against faculty-authored items in dental education","2025","Scientific Reports","15","1","44805","","","0","10.1038/s41598-025-28492-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026315307&doi=10.1038%2Fs41598-025-28492-7&partnerID=40&md5=0e5f5829b2e37da7ee84d2c6e48f61e0","Qatar University, Doha, Qatar; Riphah International University, Islamabad, Pakistan; College of Dentistry, Foundation University, Islamabad, Islamabad, Pakistan","Kiyani, Amber R., Qatar University, Doha, Qatar; Hanif, Fariha, Riphah International University, Islamabad, Pakistan; Muhammad, Muhammad, Riphah International University, Islamabad, Pakistan; Iqbal, Sana, Riphah International University, Islamabad, Pakistan; Zaib, Nadia, College of Dentistry, Foundation University, Islamabad, Islamabad, Pakistan; Bashir, Ulfat, Riphah International University, Islamabad, Pakistan; Ali, Kamran, Qatar University, Doha, Qatar","Assessments; ChatGPT; Dental education; Large language models; Students; Universities","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105026315307"
"Goyal, H.; Garg, G.; Mordia, P.; Ramachandran, V.; Kumar, D.; Challa, J.S.","Goyal, Harshita (57211158686); Garg, Garima (59957995900); Mordia, Prisha (59958634100); Ramachandran, Veena (58196933100); Kumar, Dhruv (59769217200); Challa, Jagat Sesh (49361095100)","57211158686; 59957995900; 59958634100; 58196933100; 59769217200; 49361095100","Thematic insights into the impact of large language models on K-12 education in rural India from student volunteers’ perspectives","2025","Scientific Reports","15","1","45681","","","0","10.1038/s41598-025-18047-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026237781&doi=10.1038%2Fs41598-025-18047-1&partnerID=40&md5=e1c60602d5694dc6465757795c9e1634","Department of Computer Science and Information Systems, Birla Institute of Technology and Science, Pilani, Pilani, RJ, India; Department of Humanities and Social Sciences, Birla Institute of Technology and Science, Pilani, Pilani, RJ, India","Goyal, Harshita, Department of Computer Science and Information Systems, Birla Institute of Technology and Science, Pilani, Pilani, RJ, India; Garg, Garima, Department of Computer Science and Information Systems, Birla Institute of Technology and Science, Pilani, Pilani, RJ, India; Mordia, Prisha, Department of Computer Science and Information Systems, Birla Institute of Technology and Science, Pilani, Pilani, RJ, India; Ramachandran, Veena, Department of Humanities and Social Sciences, Birla Institute of Technology and Science, Pilani, Pilani, RJ, India; Kumar, Dhruv, Department of Computer Science and Information Systems, Birla Institute of Technology and Science, Pilani, Pilani, RJ, India; Challa, Jagat Sesh, Department of Computer Science and Information Systems, Birla Institute of Technology and Science, Pilani, Pilani, RJ, India","Generative AI; K-12 education; Large language models; Rural education in India","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105026237781"
"Choochaiwattana, W.; Jaruariyanon, P.; Jitpranee, A.; Deecharoen, R.; Kaewpradup, T.; Chusak, C.; Adisakwattana, S.","Choochaiwattana, Worasit (35069247900); Jaruariyanon, Patinya (60261005500); Jitpranee, Assaree (60261005600); Deecharoen, Rawirin (60261064400); Kaewpradup, Thanaporn (58960966600); Chusak, Charoonsri (56077883500); Adisakwattana, Sirichai (6507616304)","35069247900; 60261005500; 60261005600; 60261064400; 58960966600; 56077883500; 6507616304","AI powered dietary proportion assessment for improving accuracy and practicality of the balanced meal plate model","2025","Scientific Reports","15","1","45273","","","0","10.1038/s41598-025-29631-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026213362&doi=10.1038%2Fs41598-025-29631-w&partnerID=40&md5=b982c08f887288f4b42226468fb76a03","Chulalongkorn Business School, Bangkok, Thailand; Department of Nutrition and Dietetics, Chulalongkorn University, Bangkok, Thailand","Choochaiwattana, Worasit, Chulalongkorn Business School, Bangkok, Thailand; Jaruariyanon, Patinya, Chulalongkorn Business School, Bangkok, Thailand; Jitpranee, Assaree, Department of Nutrition and Dietetics, Chulalongkorn University, Bangkok, Thailand; Deecharoen, Rawirin, Department of Nutrition and Dietetics, Chulalongkorn University, Bangkok, Thailand; Kaewpradup, Thanaporn, Department of Nutrition and Dietetics, Chulalongkorn University, Bangkok, Thailand; Chusak, Charoonsri, Department of Nutrition and Dietetics, Chulalongkorn University, Bangkok, Thailand; Adisakwattana, Sirichai, Department of Nutrition and Dietetics, Chulalongkorn University, Bangkok, Thailand","2:1:1 proportion; Artificial intelligence; Dietary assessment; Plate model; Web application","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105026213362"
"Meenakowshalya, M.; Suchitra; Dhanaraj, R.K.; Pamucar, D.","Meenakowshalya, A. (57193347708); Suchitra (60257600700); Dhanaraj, Rajesh Kumar (56884774100); Pamucar, Dragan Stevan S. (54080216100)","57193347708; 60257600700; 56884774100; 54080216100","A vision explainability method for image captioning using transformer decoder attention maps","2025","MethodsX","15","","103744","","","0","10.1016/j.mex.2025.103744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025956556&doi=10.1016%2Fj.mex.2025.103744&partnerID=40&md5=15d36158ffc0d2c0aefc4e82e2a70b4c","Department of Computer Science and Engineering, Government College of Technology, Coimbatore, Coimbatore, TN, India; Department of Electronics and Communication Engineering, Government College of Technology, Coimbatore, Coimbatore, TN, India; Symbiosis Institute of Computer Studies and Research, Pune, MH, India; Széchenyi István University, Gyor, Gyor-Moson-Sopron, Hungary","Meenakowshalya, A., Department of Computer Science and Engineering, Government College of Technology, Coimbatore, Coimbatore, TN, India; Suchitra, null, Department of Electronics and Communication Engineering, Government College of Technology, Coimbatore, Coimbatore, TN, India; Dhanaraj, Rajesh Kumar, Symbiosis Institute of Computer Studies and Research, Pune, MH, India; Pamucar, Dragan Stevan S., Széchenyi István University, Gyor, Gyor-Moson-Sopron, Hungary","Convolutional neural network; Explainable AI; Image captioning; Transformer models; Visual attention maps","Elsevier B.V.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105025956556"
"Gürefe, N.; Öksüz, H.; Aktaş, G.S.","Gürefe, Nejla (55629045700); Öksüz, Hava (59303294200); Aktaş, Gülfem Sarpkaya (55127678700)","55629045700; 59303294200; 55127678700","Enhancing mathematical modeling competencies through AI-powered VR","2025","PLOS ONE","20","12 December","e0326440","","","0","10.1371/journal.pone.0326440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025738538&doi=10.1371%2Fjournal.pone.0326440&partnerID=40&md5=78cfcf11eba3950951788370bd843ad5","Faculty of Education, Mersin Üniversitesi, Mersin, Turkey; Faculty of Education, Çukurova Üniversitesi, Adana, Adana, Turkey","Gürefe, Nejla, Faculty of Education, Mersin Üniversitesi, Mersin, Turkey; Öksüz, Hava, Faculty of Education, Çukurova Üniversitesi, Adana, Adana, Turkey; Aktaş, Gülfem Sarpkaya, Faculty of Education, Çukurova Üniversitesi, Adana, Adana, Turkey","","Public Library of Science","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105025738538"
"Stoyanov, A.; Nedelcheva, A.","Stoyanov, Asen N. (59754017700); Nedelcheva, Anely M. (16646893700)","59754017700; 16646893700","Identifying Features of LLM-Resistant Exam Questions: Insights from Artificial Intelligence (AI)–Student Performance Comparisons","2025","Sci","7","4","183","","","0","10.3390/sci7040183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025718613&doi=10.3390%2Fsci7040183&partnerID=40&md5=a7d8cf20cd65f21a6a9558aa512555bb","Department of Organic Chemistry and Pharmacognosy, Faculty of Chemistry and Pharmacy, Sofia, Bulgaria","Stoyanov, Asen N., Department of Organic Chemistry and Pharmacognosy, Faculty of Chemistry and Pharmacy, Sofia, Bulgaria; Nedelcheva, Anely M., Department of Organic Chemistry and Pharmacognosy, Faculty of Chemistry and Pharmacy, Sofia, Bulgaria","artificial intelligence; ChatGPT; DeepSeek; exam; Google Lens; large language model; Moodle; pharmacognosy","Multidisciplinary Digital Publishing Institute (MDPI)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025718613"
